MCS,Leader Cells,Follower Cells,Total
525,390,1221,1611
526,390,1221,1611
527,390,1222,1612
528,390,1222,1612
529,390,1224,1614
530,390,1225,1615
531,390,1225,1615
532,390,1227,1617
533,390,1230,1620
534,390,1230,1620
535,390,1232,1622
536,390,1232,1622
537,390,1233,1623
538,390,1234,1624
539,390,1237,1627
540,390,1240,1630
541,390,1242,1632
542,390,1242,1632
543,390,1243,1633
544,390,1246,1636
545,390,1247,1637
546,390,1250,1640
547,390,1253,1643
548,390,1255,1645
549,390,1257,1647
550,390,1258,1648
551,390,1259,1649
552,390,1261,1651
553,390,1262,1652
554,390,1262,1652
555,390,1263,1653
556,390,1264,1654
557,390,1266,1656
558,390,1268,1658
559,390,1270,1660
560,390,1272,1662
561,390,1273,1663
562,390,1277,1667
563,390,1279,1669
564,390,1280,1670
565,390,1282,1672
566,390,1287,1677
567,390,1290,1680
568,390,1291,1681
569,390,1296,1686
570,390,1299,1689
571,390,1301,1691
572,390,1304,1694
573,390,1305,1695
574,390,1308,1698
575,390,1310,1700
576,390,1316,1706
577,390,1317,1707
578,390,1320,1710
579,390,1323,1713
580,390,1327,1717
581,390,1329,1719
582,390,1335,1725
583,390,1338,1728
584,390,1343,1733
585,390,1346,1736
586,390,1349,1739
587,390,1355,1745
588,390,1359,1749
589,390,1365,1755
590,390,1370,1760
591,390,1372,1762
592,390,1373,1763
593,390,1377,1767
594,390,1379,1769
595,390,1384,1774
596,390,1388,1778
597,390,1394,1784
598,390,1401,1791
599,390,1407,1797
600,390,1411,1801
601,390,1418,1808
602,390,1419,1809
603,390,1420,1810
604,390,1425,1815
605,390,1431,1821
606,390,1433,1823
607,390,1440,1830
608,390,1443,1833
609,390,1449,1839
610,390,1453,1843
611,390,1456,1846
612,390,1464,1854
613,390,1473,1863
614,390,1478,1868
615,390,1485,1875
616,390,1493,1883
617,390,1499,1889
618,390,1505,1895
619,390,1509,1899
620,390,1513,1903
621,390,1521,1911
622,390,1526,1916
623,390,1532,1922
624,390,1539,1929
625,390,1543,1933
626,390,1551,1941
627,390,1553,1943
628,390,1557,1947
629,390,1568,1958
630,390,1575,1965
631,390,1579,1969
632,390,1583,1973
633,390,1590,1980
634,390,1597,1987
635,390,1601,1991
636,390,1605,1995
637,390,1614,2004
638,390,1621,2011
639,390,1626,2016
640,390,1635,2025
641,390,1639,2029
642,390,1648,2038
643,390,1658,2048
644,390,1663,2053
645,390,1674,2064
646,390,1683,2073
647,390,1693,2083
648,390,1699,2089
649,390,1702,2092
650,390,1712,2102
651,390,1725,2115
652,390,1734,2124
653,390,1743,2133
654,390,1748,2138
655,390,1755,2145
656,390,1765,2155
657,390,1772,2162
658,390,1781,2171
659,390,1785,2175
660,390,1799,2189
661,390,1807,2197
662,390,1820,2210
663,390,1834,2224
664,390,1842,2232
665,390,1848,2238
666,390,1854,2244
667,390,1865,2255
668,390,1870,2260
669,390,1887,2277
670,390,1893,2283
671,390,1901,2291
672,390,1912,2302
